timestamp,heart rate,activity type,time
1717535502,0.0,generic,0
1717535503,0.0,generic,1
1717535504,0.0,generic,2
1717535505,0.0,generic,3
1717535506,114.0,generic,4
1717535507,112.0,generic,5
1717535508,111.0,generic,6
1717535509,111.0,generic,7
1717535510,111.0,generic,8
1717535511,111.0,generic,9
1717535512,110.0,generic,10
1717535513,110.0,generic,11
1717535514,109.0,generic,12
1717535515,109.0,generic,13
1717535516,109.0,generic,14
1717535517,109.0,generic,15
1717535518,110.0,generic,16
1717535519,110.0,generic,17
1717535520,111.0,generic,18
1717535521,110.0,generic,19
1717535522,110.0,generic,20
1717535523,110.0,generic,21
1717535524,111.0,generic,22
1717535525,111.0,generic,23
1717535526,111.0,generic,24
1717535527,111.0,generic,25
1717535528,111.0,generic,26
1717535529,111.0,generic,27
1717535530,111.0,generic,28
1717535531,110.0,generic,29
1717535532,110.0,generic,30
1717535533,110.0,generic,31
1717535534,110.0,generic,32
