timestamp,heart rate,activity type,time
1719608023,146.0,generic,0
1719608024,145.0,generic,1
1719608025,145.0,generic,2
1719608026,145.0,generic,3
1719608027,144.0,generic,4
1719608028,144.0,generic,5
1719608029,144.0,generic,6
1719608030,144.0,generic,7
1719608031,144.0,generic,8
1719608032,144.0,generic,9
1719608033,144.0,generic,10
1719608034,144.0,generic,11
1719608035,145.0,generic,12
1719608036,145.0,generic,13
1719608037,145.0,generic,14
1719608038,145.0,generic,15
1719608039,144.0,generic,16
1719608040,144.0,generic,17
1719608041,143.0,generic,18
1719608042,142.0,generic,19
1719608043,142.0,generic,20
1719608044,142.0,generic,21
1719608045,142.0,generic,22
