timestamp,heart rate,activity type,time
1717536143,96.0,generic,0
1717536144,97.0,generic,1
1717536145,97.0,generic,2
1717536146,97.0,generic,3
1717536147,97.0,generic,4
1717536148,97.0,generic,5
1717536149,97.0,generic,6
1717536150,97.0,generic,7
1717536151,97.0,generic,8
1717536152,97.0,generic,9
1717536153,97.0,generic,10
1717536154,97.0,generic,11
1717536155,97.0,generic,12
1717536156,97.0,generic,13
1717536157,97.0,generic,14
1717536158,97.0,generic,15
1717536159,97.0,generic,16
1717536160,97.0,generic,17
1717536161,97.0,generic,18
1717536162,97.0,generic,19
1717536163,98.0,generic,20
1717536164,99.0,generic,21
1717536165,101.0,generic,22
1717536166,103.0,generic,23
1717536167,105.0,generic,24
1717536168,106.0,generic,25
1717536169,108.0,generic,26
1717536170,109.0,generic,27
1717536171,110.0,generic,28
1717536172,111.0,generic,29
1717536173,112.0,generic,30
1717536174,112.0,generic,31
1717536175,113.0,generic,32
1717536176,113.0,generic,33
1717536177,113.0,generic,34
1717536178,113.0,generic,35
1717536179,113.0,generic,36
1717536180,113.0,generic,37
1717536181,113.0,generic,38
1717536182,113.0,generic,39
1717536183,114.0,generic,40
