timestamp,heart rate,distance,activity type,time
1727231362,111.0,0.0,generic,0
1727231363,111.0,0.0,generic,1
1727231364,112.0,0.0,generic,2
1727231365,111.0,0.0,generic,3
1727231366,111.0,0.0,generic,4
1727231367,111.0,0.0,generic,5
1727231368,111.0,0.0,generic,6
1727231369,111.0,0.0,generic,7
1727231370,111.0,0.0,generic,8
1727231371,111.0,0.0,generic,9
1727231372,111.0,0.0,generic,10
1727231373,110.0,0.0,generic,11
1727231374,110.0,0.0,generic,12
1727231375,109.0,0.0,generic,13
1727231376,109.0,0.0,generic,14
1727231377,108.0,0.0,generic,15
1727231378,108.0,0.0,generic,16
1727231379,107.0,0.0,generic,17
1727231380,106.0,0.0,generic,18
1727231381,106.0,0.0,generic,19
1727231382,106.0,0.0,generic,20
1727231383,106.0,0.0,generic,21
1727231384,106.0,0.0,generic,22
1727231385,106.0,0.0,generic,23
1727231386,106.0,0.0,generic,24
1727231387,106.0,0.0,generic,25
1727231388,106.0,0.0,generic,26
