timestamp,heart rate,distance,activity type,time
1721520426,,0.0,generic,0
1721520427,,0.0,generic,1
1721520428,117.0,0.0,generic,2
1721520429,119.0,0.0,generic,3
1721520430,119.0,0.0,generic,4
1721520431,119.0,0.0,generic,5
1721520432,120.0,0.0,generic,6
1721520433,120.0,0.0,generic,7
1721520434,120.0,0.0,generic,8
1721520435,120.0,0.0,generic,9
1721520436,119.0,0.0,generic,10
1721520437,118.0,0.0,generic,11
1721520438,117.0,0.0,generic,12
1721520439,117.0,0.0,generic,13
1721520440,116.0,0.0,generic,14
1721520441,116.0,0.0,generic,15
1721520442,115.0,0.0,generic,16
1721520443,114.0,0.0,generic,17
1721520444,112.0,0.0,generic,18
1721520445,112.0,0.0,generic,19
1721520446,111.0,0.0,generic,20
1721520447,111.0,0.0,generic,21
1721520448,110.0,0.0,generic,22
1721520449,110.0,0.0,generic,23
1721520450,110.0,0.0,generic,24
1721520451,110.0,0.0,generic,25
1721520452,110.0,0.0,generic,26
1721520453,110.0,0.0,generic,27
1721520454,110.0,0.0,generic,28
1721520455,110.0,0.0,generic,29
1721520456,110.0,0.0,generic,30
1721520457,110.0,0.0,generic,31
1721520458,110.0,0.0,generic,32
1721520459,109.0,0.0,generic,33
1721520460,109.0,0.0,generic,34
1721520461,108.0,0.0,generic,35
1721520462,108.0,0.0,generic,36
1721520463,108.0,0.0,generic,37
1721520464,107.0,0.0,generic,38
1721520465,107.0,0.0,generic,39
1721520466,108.0,0.0,generic,40
1721520467,108.0,0.0,generic,41
