timestamp,heart rate,activity type,time
1717537809,75.0,generic,0
1717537810,75.0,generic,1
1717537811,75.0,generic,2
1717537812,75.0,generic,3
1717537813,75.0,generic,4
1717537814,75.0,generic,5
1717537815,75.0,generic,6
1717537816,75.0,generic,7
1717537817,75.0,generic,8
1717537818,75.0,generic,9
1717537819,76.0,generic,10
1717537820,76.0,generic,11
1717537821,76.0,generic,12
1717537822,76.0,generic,13
1717537823,77.0,generic,14
1717537824,77.0,generic,15
1717537825,77.0,generic,16
1717537826,77.0,generic,17
1717537827,77.0,generic,18
1717537828,77.0,generic,19
1717537829,77.0,generic,20
1717537830,77.0,generic,21
1717537831,79.0,generic,22
1717537832,80.0,generic,23
1717537833,81.0,generic,24
1717537834,82.0,generic,25
1717537835,82.0,generic,26
1717537836,82.0,generic,27
1717537837,84.0,generic,28
