timestamp,heart rate,activity type,time
1719169147,109.0,generic,0
1719169148,109.0,generic,1
1719169149,108.0,generic,2
1719169150,107.0,generic,3
1719169151,107.0,generic,4
1719169152,106.0,generic,5
1719169153,106.0,generic,6
1719169154,106.0,generic,7
1719169155,106.0,generic,8
1719169156,106.0,generic,9
1719169157,106.0,generic,10
1719169158,106.0,generic,11
1719169159,106.0,generic,12
