timestamp,heart rate,distance,activity type,time
1727552494,91.0,0.0,generic,0
1727552495,89.0,0.0,generic,1
1727552496,89.0,0.0,generic,2
1727552497,89.0,0.0,generic,3
1727552498,88.0,0.0,generic,4
1727552499,88.0,0.0,generic,5
1727552500,89.0,0.0,generic,6
1727552501,90.0,0.0,generic,7
1727552502,92.0,0.0,generic,8
1727552503,92.0,0.0,generic,9
1727552504,92.0,0.0,generic,10
1727552505,92.0,0.0,generic,11
1727552506,91.0,0.0,generic,12
1727552507,91.0,0.0,generic,13
1727552508,89.0,0.0,generic,14
1727552509,89.0,0.0,generic,15
1727552510,88.0,0.0,generic,16
1727552511,87.0,0.0,generic,17
1727552512,87.0,0.0,generic,18
1727552513,88.0,0.0,generic,19
