timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736029564,117,12.12,92.0,117,18,0.0
1736029565,118,12.12,95.0,118,18,1.0
1736029566,120,12.04,95.0,120,18,2.0
1736029567,121,12.04,95.0,121,18,3.0
1736029568,121,12.04,95.0,121,18,4.0
1736029569,120,12.04,95.0,120,18,5.0
1736029570,120,12.2,98.0,120,18,6.0
1736029571,119,12.2,98.0,119,18,7.0
1736029572,119,12.2,98.0,119,18,8.0
1736029573,119,12.2,98.0,119,18,9.0
1736029574,120,12.21,98.0,120,18,10.0
1736029575,121,12.21,98.0,121,18,11.0
1736029576,121,12.21,98.0,121,18,12.0
1736029577,122,12.21,98.0,122,18,13.0
1736029578,123,12.21,98.0,123,18,14.0
1736029579,123,12.2,98.0,123,18,15.0
1736029580,123,12.2,98.0,123,18,16.0
1736029581,123,12.2,98.0,123,18,17.0
1736029582,123,12.24,98.0,123,18,18.0
1736029583,123,12.24,98.0,123,18,19.0
1736029584,123,12.24,98.0,123,18,20.0
1736029585,122,12.39,99.0,122,18,21.0
1736029586,122,12.39,99.0,122,18,22.0
1736029587,122,12.39,99.0,122,18,23.0
1736029588,122,12.39,99.0,122,18,24.0
1736029589,122,12.61,99.0,122,18,25.0
1736029590,122,12.76,98.0,122,18,26.0
1736029591,122,12.76,98.0,122,18,27.0
1736029592,122,12.76,98.0,122,18,28.0
1736029593,122,12.76,98.0,122,18,29.0
1736029594,122,12.76,98.0,122,18,30.0
1736029595,121,12.76,98.0,121,18,31.0
1736029596,121,12.76,98.0,121,18,32.0
1736029597,121,12.76,98.0,121,18,33.0
1736029598,120,12.76,98.0,120,18,34.0
1736029599,120,12.76,98.0,120,18,35.0
1736029600,120,12.76,98.0,120,18,36.0
1736029601,121,12.76,98.0,121,18,37.0
1736029602,120,12.76,98.0,120,18,38.0
1736029603,120,12.76,98.0,120,18,39.0
1736029604,119,12.76,98.0,119,18,40.0
1736029605,118,12.76,96.0,118,18,41.0
