timestamp,heart rate,distance,activity type,time
1739130638,85.0,0.0,generic,0
1739130639,85.0,0.0,generic,1
1739130640,84.0,0.0,generic,2
1739130641,84.0,0.0,generic,3
1739130642,86.0,0.0,generic,4
1739130643,88.0,0.0,generic,5
1739130644,95.0,0.0,generic,6
1739130645,96.0,0.0,generic,7
1739130646,98.0,0.0,generic,8
1739130647,102.0,0.0,generic,9
1739130648,105.0,0.0,generic,10
1739130649,109.0,0.0,generic,11
1739130650,110.0,0.0,generic,12
1739130651,114.0,0.0,generic,13
1739130652,117.0,0.0,generic,14
1739130653,123.0,0.0,generic,15
1739130654,127.0,0.0,generic,16
1739130655,128.0,0.0,generic,17
1739130656,129.0,0.0,generic,18
1739130657,129.0,0.0,generic,19
1739130658,128.0,0.0,generic,20
1739130659,128.0,0.0,generic,21
1739130660,128.0,0.0,generic,22
1739130661,128.0,0.0,generic,23
1739130662,128.0,0.0,generic,24
1739130663,127.0,0.0,generic,25
1739130664,127.0,0.0,generic,26
1739130665,127.0,0.0,generic,27
1739130666,126.0,0.0,generic,28
1739130667,126.0,0.0,generic,29
1739130668,125.0,0.0,generic,30
