timestamp,heart rate,distance,activity type,time
1727565936,97.0,0.0,generic,0
1727565937,97.0,0.0,generic,1
1727565938,97.0,0.0,generic,2
1727565939,96.0,0.0,generic,3
1727565940,96.0,0.0,generic,4
1727565941,95.0,0.0,generic,5
1727565942,94.0,0.0,generic,6
1727565943,92.0,0.0,generic,7
1727565944,90.0,0.0,generic,8
1727565945,90.0,0.0,generic,9
1727565946,90.0,0.0,generic,10
1727565947,89.0,0.0,generic,11
1727565948,90.0,0.0,generic,12
1727565949,91.0,0.0,generic,13
1727565950,92.0,0.0,generic,14
1727565951,92.0,0.0,generic,15
1727565952,92.0,0.0,generic,16
1727565953,93.0,0.0,generic,17
1727565954,93.0,0.0,generic,18
1727565955,94.0,0.0,generic,19
1727565956,95.0,0.0,generic,20
1727565957,95.0,0.0,generic,21
