timestamp,heart rate,activity type,time
1720757939,151.0,generic,0
1720757940,151.0,generic,1
1720757941,150.0,generic,2
1720757942,150.0,generic,3
1720757943,150.0,generic,4
1720757944,149.0,generic,5
1720757945,149.0,generic,6
1720757946,149.0,generic,7
1720757947,148.0,generic,8
1720757948,148.0,generic,9
1720757949,148.0,generic,10
1720757950,147.0,generic,11
1720757951,147.0,generic,12
1720757952,147.0,generic,13
1720757953,147.0,generic,14
1720757954,147.0,generic,15
1720757955,146.0,generic,16
1720757956,145.0,generic,17
