timestamp,heart rate,activity type,time
1719609443,0.0,generic,0
1719609444,0.0,generic,1
1719609445,0.0,generic,2
1719609446,0.0,generic,3
1719609447,168.0,generic,4
1719609448,168.0,generic,5
1719609449,169.0,generic,6
1719609450,169.0,generic,7
1719609451,168.0,generic,8
1719609452,167.0,generic,9
1719609453,167.0,generic,10
1719609454,167.0,generic,11
1719609455,167.0,generic,12
1719609456,167.0,generic,13
1719609457,166.0,generic,14
1719609458,166.0,generic,15
1719609459,166.0,generic,16
1719609460,166.0,generic,17
1719609461,166.0,generic,18
1719609462,166.0,generic,19
