timestamp,heart rate,activity type,time
1719169906,,generic,0
1719169907,,generic,1
1719169908,0.0,generic,2
1719169909,0.0,generic,3
1719169910,0.0,generic,4
1719169911,0.0,generic,5
1719169912,0.0,generic,6
1719169913,0.0,generic,7
1719169914,0.0,generic,8
1719169915,0.0,generic,9
1719169916,0.0,generic,10
1719169917,0.0,generic,11
1719169918,160.0,generic,12
1719169919,158.0,generic,13
1719169920,158.0,generic,14
1719169921,159.0,generic,15
1719169922,159.0,generic,16
1719169923,160.0,generic,17
1719169924,160.0,generic,18
1719169925,160.0,generic,19
1719169926,159.0,generic,20
