timestamp,heart rate,distance,activity type,time
1727562054,93.0,0.0,generic,0
1727562055,93.0,0.0,generic,1
1727562056,94.0,0.0,generic,2
1727562057,94.0,0.0,generic,3
1727562058,95.0,0.0,generic,4
1727562059,95.0,0.0,generic,5
1727562060,96.0,0.0,generic,6
1727562061,96.0,0.0,generic,7
1727562062,97.0,0.0,generic,8
1727562063,97.0,0.0,generic,9
1727562064,97.0,0.0,generic,10
1727562065,97.0,0.0,generic,11
1727562066,97.0,0.0,generic,12
1727562067,98.0,0.0,generic,13
1727562068,97.0,0.0,generic,14
1727562069,98.0,0.0,generic,15
1727562070,98.0,0.0,generic,16
1727562071,99.0,0.0,generic,17
1727562072,99.0,0.0,generic,18
