timestamp,heart rate,activity type,time
1720744998,120.0,generic,0
1720744999,121.0,generic,1
1720745000,122.0,generic,2
1720745001,122.0,generic,3
1720745002,122.0,generic,4
1720745003,122.0,generic,5
1720745004,122.0,generic,6
1720745005,121.0,generic,7
1720745006,120.0,generic,8
1720745007,120.0,generic,9
1720745008,119.0,generic,10
1720745009,119.0,generic,11
1720745010,117.0,generic,12
1720745011,116.0,generic,13
1720745012,113.0,generic,14
1720745013,109.0,generic,15
1720745014,107.0,generic,16
1720745015,106.0,generic,17
1720745016,106.0,generic,18
1720745017,106.0,generic,19
1720745018,105.0,generic,20
1720745019,104.0,generic,21
1720745020,103.0,generic,22
1720745021,102.0,generic,23
1720745022,102.0,generic,24
1720745023,100.0,generic,25
1720745024,100.0,generic,26
1720745025,100.0,generic,27
1720745026,100.0,generic,28
1720745027,101.0,generic,29
1720745028,102.0,generic,30
1720745029,103.0,generic,31
1720745030,104.0,generic,32
1720745031,104.0,generic,33
1720745032,104.0,generic,34
1720745033,104.0,generic,35
1720745034,104.0,generic,36
1720745035,104.0,generic,37
