timestamp,heart rate,activity type,time
1717533797,0.0,generic,0
1717533798,107.0,generic,1
1717533799,104.0,generic,2
1717533800,104.0,generic,3
1717533801,104.0,generic,4
1717533802,105.0,generic,5
1717533803,104.0,generic,6
1717533804,104.0,generic,7
1717533805,104.0,generic,8
1717533806,104.0,generic,9
1717533807,104.0,generic,10
1717533808,104.0,generic,11
1717533809,105.0,generic,12
1717533810,106.0,generic,13
1717533811,107.0,generic,14
1717533812,108.0,generic,15
1717533813,110.0,generic,16
1717533814,110.0,generic,17
1717533815,110.0,generic,18
1717533816,110.0,generic,19
1717533817,111.0,generic,20
1717533818,111.0,generic,21
1717533819,112.0,generic,22
1717533820,113.0,generic,23
1717533821,113.0,generic,24
1717533822,112.0,generic,25
1717533823,111.0,generic,26
1717533824,111.0,generic,27
1717533825,108.0,generic,28
1717533826,108.0,generic,29
