timestamp,heart rate,distance,activity type,time
1727029269,139.0,0.0,generic,0
1727029270,139.0,0.0,generic,1
1727029271,138.0,0.0,generic,2
1727029272,138.0,0.0,generic,3
1727029273,138.0,0.0,generic,4
1727029274,139.0,0.0,generic,5
1727029275,139.0,0.0,generic,6
1727029276,139.0,0.0,generic,7
1727029277,139.0,0.0,generic,8
1727029278,139.0,0.0,generic,9
1727029279,139.0,0.0,generic,10
1727029280,139.0,0.0,generic,11
1727029281,139.0,0.0,generic,12
1727029282,139.0,0.0,generic,13
1727029283,139.0,0.0,generic,14
1727029284,139.0,0.0,generic,15
1727029285,139.0,0.0,generic,16
1727029286,139.0,0.0,generic,17
1727029287,140.0,0.0,generic,18
1727029288,140.0,0.0,generic,19
