,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1707177028,0,0,152,0.0,0
1,1707177029,0,0,150,0.0,1
2,1707177030,0,0,149,0.0,2
3,1707177031,0,0,148,0.0,3
4,1707177032,0,0,147,0.0,4
5,1707177033,0,0,143,0.0,5
6,1707177034,0,0,143,0.0,6
7,1707177035,0,0,142,0.0,7
8,1707177036,0,0,141,0.0,8
9,1707177037,0,0,141,0.0,9
10,1707177038,0,0,141,0.0,10
11,1707177039,0,0,141,0.0,11
12,1707177040,0,0,140,0.0,12
13,1707177041,0,0,140,0.0,13
14,1707177042,0,0,139,0.0,14
15,1707177043,0,0,138,0.0,15
16,1707177044,0,0,138,0.0,16
17,1707177045,0,0,137,0.0,17
18,1707177046,0,0,136,0.0,18
19,1707177047,0,0,136,0.0,19
20,1707177048,0,0,135,0.0,20
21,1707177049,0,0,135,0.0,21
22,1707177050,0,0,134,0.0,22
23,1707177051,0,0,134,0.0,23
24,1707177052,0,0,134,0.0,24
