timestamp,heart rate,distance,activity type,time
1721694327,92.0,0.0,generic,0
1721694328,92.0,0.0,generic,1
1721694329,92.0,0.0,generic,2
1721694330,92.0,0.0,generic,3
1721694331,92.0,0.0,generic,4
1721694332,92.0,0.0,generic,5
1721694333,93.0,0.0,generic,6
1721694334,94.0,0.0,generic,7
1721694335,95.0,0.0,generic,8
1721694336,95.0,0.0,generic,9
1721694337,94.0,0.0,generic,10
1721694338,92.0,0.0,generic,11
1721694339,91.0,0.0,generic,12
1721694340,90.0,0.0,generic,13
1721694341,90.0,0.0,generic,14
1721694342,89.0,0.0,generic,15
1721694343,89.0,0.0,generic,16
1721694344,89.0,0.0,generic,17
1721694345,89.0,0.0,generic,18
1721694346,89.0,0.0,generic,19
1721694347,89.0,0.0,generic,20
1721694348,88.0,0.0,generic,21
1721694349,87.0,0.0,generic,22
1721694350,86.0,0.0,generic,23
1721694351,85.0,0.0,generic,24
1721694352,84.0,0.0,generic,25
1721694353,84.0,0.0,generic,26
