timestamp,heart rate,activity type,time
1719169986,139.0,generic,0
1719169987,140.0,generic,1
1719169988,139.0,generic,2
1719169989,139.0,generic,3
1719169990,138.0,generic,4
1719169991,137.0,generic,5
1719169992,137.0,generic,6
1719169993,135.0,generic,7
1719169994,135.0,generic,8
1719169995,136.0,generic,9
1719169996,136.0,generic,10
1719169997,137.0,generic,11
1719169998,138.0,generic,12
1719169999,138.0,generic,13
1719170000,138.0,generic,14
1719170001,137.0,generic,15
1719170002,139.0,generic,16
