timestamp,heart rate,activity type,time
1717537775,63.0,generic,0
1717537776,63.0,generic,1
1717537777,63.0,generic,2
1717537778,63.0,generic,3
1717537779,63.0,generic,4
1717537780,63.0,generic,5
1717537781,63.0,generic,6
1717537782,63.0,generic,7
1717537783,65.0,generic,8
1717537784,65.0,generic,9
1717537785,66.0,generic,10
1717537786,66.0,generic,11
1717537787,67.0,generic,12
1717537788,68.0,generic,13
1717537789,69.0,generic,14
1717537790,71.0,generic,15
1717537791,71.0,generic,16
1717537792,72.0,generic,17
1717537793,72.0,generic,18
1717537794,72.0,generic,19
1717537795,73.0,generic,20
1717537796,74.0,generic,21
1717537797,74.0,generic,22
1717537798,74.0,generic,23
1717537799,74.0,generic,24
1717537800,75.0,generic,25
