timestamp,heart rate,distance,activity type,time
1727558991,87.0,0.0,generic,0
1727558992,88.0,0.0,generic,1
1727558993,88.0,0.0,generic,2
1727558994,90.0,0.0,generic,3
1727558995,90.0,0.0,generic,4
1727558996,91.0,0.0,generic,5
1727558997,92.0,0.0,generic,6
1727558998,93.0,0.0,generic,7
1727558999,93.0,0.0,generic,8
1727559000,94.0,0.0,generic,9
1727559001,94.0,0.0,generic,10
1727559002,94.0,0.0,generic,11
1727559003,95.0,0.0,generic,12
1727559004,95.0,0.0,generic,13
1727559005,95.0,0.0,generic,14
1727559006,95.0,0.0,generic,15
1727559007,95.0,0.0,generic,16
1727559008,95.0,0.0,generic,17
1727559009,96.0,0.0,generic,18
1727559010,96.0,0.0,generic,19
1727559011,97.0,0.0,generic,20
1727559012,97.0,0.0,generic,21
1727559013,97.0,0.0,generic,22
1727559014,97.0,0.0,generic,23
1727559015,97.0,0.0,generic,24
1727559016,97.0,0.0,generic,25
1727559017,97.0,0.0,generic,26
1727559018,96.0,0.0,generic,27
1727559019,96.0,0.0,generic,28
1727559020,96.0,0.0,generic,29
1727559021,96.0,0.0,generic,30
1727559022,97.0,0.0,generic,31
1727559023,97.0,0.0,generic,32
1727559024,98.0,0.0,generic,33
1727559025,97.0,0.0,generic,34
1727559026,97.0,0.0,generic,35
1727559027,97.0,0.0,generic,36
1727559028,97.0,0.0,generic,37
1727559029,97.0,0.0,generic,38
1727559030,97.0,0.0,generic,39
1727559031,97.0,0.0,generic,40
1727559032,97.0,0.0,generic,41
1727559033,97.0,0.0,generic,42
1727559034,97.0,0.0,generic,43
1727559035,96.0,0.0,generic,44
