timestamp,heart rate,activity type,time
1719352240,0.0,generic,0
1719352241,0.0,generic,1
1719352242,0.0,generic,2
1719352243,0.0,generic,3
1719352244,0.0,generic,4
1719352245,0.0,generic,5
1719352246,0.0,generic,6
1719352247,107.0,generic,7
1719352248,106.0,generic,8
1719352249,106.0,generic,9
1719352250,105.0,generic,10
1719352251,104.0,generic,11
1719352252,104.0,generic,12
1719352253,104.0,generic,13
1719352254,104.0,generic,14
1719352255,104.0,generic,15
1719352256,104.0,generic,16
1719352257,104.0,generic,17
1719352258,104.0,generic,18
1719352259,104.0,generic,19
1719352260,104.0,generic,20
1719352261,104.0,generic,21
1719352262,104.0,generic,22
1719352263,104.0,generic,23
1719352264,104.0,generic,24
1719352265,104.0,generic,25
1719352266,105.0,generic,26
1719352267,105.0,generic,27
1719352268,105.0,generic,28
