timestamp,heart rate,distance,activity type,time
1727559713,99.0,0.0,generic,0
1727559714,98.0,0.0,generic,1
1727559715,98.0,0.0,generic,2
1727559716,98.0,0.0,generic,3
1727559717,98.0,0.0,generic,4
1727559718,99.0,0.0,generic,5
1727559719,99.0,0.0,generic,6
1727559720,100.0,0.0,generic,7
1727559721,100.0,0.0,generic,8
1727559722,99.0,0.0,generic,9
1727559723,98.0,0.0,generic,10
1727559724,98.0,0.0,generic,11
1727559725,96.0,0.0,generic,12
1727559726,96.0,0.0,generic,13
1727559727,96.0,0.0,generic,14
1727559728,95.0,0.0,generic,15
1727559729,95.0,0.0,generic,16
1727559730,94.0,0.0,generic,17
1727559731,93.0,0.0,generic,18
1727559732,91.0,0.0,generic,19
1727559733,90.0,0.0,generic,20
1727559734,88.0,0.0,generic,21
1727559735,88.0,0.0,generic,22
1727559736,88.0,0.0,generic,23
1727559737,88.0,0.0,generic,24
1727559738,90.0,0.0,generic,25
1727559739,91.0,0.0,generic,26
1727559740,91.0,0.0,generic,27
1727559741,91.0,0.0,generic,28
1727559742,91.0,0.0,generic,29
1727559743,91.0,0.0,generic,30
1727559744,90.0,0.0,generic,31
1727559745,90.0,0.0,generic,32
1727559746,90.0,0.0,generic,33
1727559747,91.0,0.0,generic,34
