timestamp,heart rate,activity type,time
1717533835,108.0,generic,0
1717533836,108.0,generic,1
1717533837,108.0,generic,2
1717533838,107.0,generic,3
1717533839,107.0,generic,4
1717533840,106.0,generic,5
1717533841,106.0,generic,6
1717533842,106.0,generic,7
1717533843,106.0,generic,8
1717533844,106.0,generic,9
1717533845,106.0,generic,10
1717533846,106.0,generic,11
1717533847,105.0,generic,12
1717533848,105.0,generic,13
1717533849,105.0,generic,14
1717533850,105.0,generic,15
1717533851,105.0,generic,16
1717533852,105.0,generic,17
1717533853,105.0,generic,18
1717533854,106.0,generic,19
1717533855,107.0,generic,20
1717533856,108.0,generic,21
1717533857,110.0,generic,22
1717533858,110.0,generic,23
1717533859,110.0,generic,24
1717533860,110.0,generic,25
1717533861,108.0,generic,26
