timestamp,heart rate,distance,activity type,time
1727548773,96.0,0.0,generic,0
1727548774,95.0,0.0,generic,1
1727548775,94.0,0.0,generic,2
1727548776,95.0,0.0,generic,3
1727548777,96.0,0.0,generic,4
1727548778,97.0,0.0,generic,5
1727548779,98.0,0.0,generic,6
1727548780,98.0,0.0,generic,7
1727548781,98.0,0.0,generic,8
1727548782,99.0,0.0,generic,9
1727548783,99.0,0.0,generic,10
1727548784,99.0,0.0,generic,11
1727548785,98.0,0.0,generic,12
1727548786,98.0,0.0,generic,13
1727548787,98.0,0.0,generic,14
1727548788,98.0,0.0,generic,15
1727548789,98.0,0.0,generic,16
1727548790,98.0,0.0,generic,17
1727548791,98.0,0.0,generic,18
1727548792,97.0,0.0,generic,19
1727548793,97.0,0.0,generic,20
1727548794,97.0,0.0,generic,21
1727548795,96.0,0.0,generic,22
1727548796,95.0,0.0,generic,23
1727548797,95.0,0.0,generic,24
