timestamp,heart rate,distance,activity type,time
1728076910,125.0,0.0,generic,0
1728076911,124.0,0.0,generic,1
1728076912,124.0,0.0,generic,2
1728076913,124.0,0.0,generic,3
1728076914,124.0,0.0,generic,4
1728076915,125.0,0.0,generic,5
1728076916,126.0,0.0,generic,6
1728076917,127.0,0.0,generic,7
1728076918,127.0,0.0,generic,8
1728076919,127.0,0.0,generic,9
1728076920,127.0,0.0,generic,10
1728076921,127.0,0.0,generic,11
1728076922,127.0,0.0,generic,12
1728076923,127.0,0.0,generic,13
1728076924,126.0,0.0,generic,14
1728076925,126.0,0.0,generic,15
1728076926,125.0,0.0,generic,16
1728076927,124.0,0.0,generic,17
1728076928,123.0,0.0,generic,18
1728076929,121.0,0.0,generic,19
1728076930,120.0,0.0,generic,20
1728076931,118.0,0.0,generic,21
1728076932,118.0,0.0,generic,22
1728076933,116.0,0.0,generic,23
