timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736030936,111,12.33,94.0,111,15,0.0
1736030937,111,12.33,94.0,111,15,1.0
1736030938,111,12.33,94.0,111,15,2.0
1736030939,111,12.42,94.0,111,15,3.0
1736030940,111,12.42,94.0,111,15,4.0
1736030941,112,12.42,94.0,112,15,5.0
1736030942,113,12.42,94.0,113,15,6.0
1736030943,114,12.42,94.0,114,15,7.0
1736030944,115,12.42,94.0,115,15,8.0
1736030945,120,12.42,93.0,120,15,9.0
1736030946,125,12.42,93.0,125,15,10.0
1736030947,127,12.42,93.0,127,15,11.0
1736030948,127,12.26,93.0,127,15,12.0
1736030949,128,12.26,93.0,128,15,13.0
1736030950,128,12.41,94.0,128,15,14.0
1736030951,128,12.41,94.0,128,15,15.0
1736030952,128,12.41,94.0,128,15,16.0
1736030953,127,12.41,94.0,127,15,17.0
1736030954,128,12.45,94.0,128,15,18.0
