timestamp,heart rate,activity type,time
1720757503,145.0,generic,0
1720757504,144.0,generic,1
1720757505,143.0,generic,2
1720757506,142.0,generic,3
1720757507,142.0,generic,4
1720757508,141.0,generic,5
1720757509,141.0,generic,6
1720757510,141.0,generic,7
1720757511,140.0,generic,8
1720757512,140.0,generic,9
1720757513,140.0,generic,10
1720757514,141.0,generic,11
1720757515,141.0,generic,12
1720757516,141.0,generic,13
1720757517,141.0,generic,14
1720757518,141.0,generic,15
1720757519,141.0,generic,16
1720757520,141.0,generic,17
1720757521,141.0,generic,18
1720757522,140.0,generic,19
1720757523,139.0,generic,20
