timestamp,heart rate,activity type,time
1719948946,141.0,generic,0
1719948947,141.0,generic,1
1719948948,141.0,generic,2
1719948949,139.0,generic,3
1719948950,139.0,generic,4
1719948951,138.0,generic,5
1719948952,137.0,generic,6
1719948953,136.0,generic,7
1719948954,136.0,generic,8
1719948955,136.0,generic,9
1719948956,136.0,generic,10
1719948957,136.0,generic,11
1719948958,136.0,generic,12
1719948959,137.0,generic,13
1719948960,137.0,generic,14
1719948961,138.0,generic,15
1719948962,138.0,generic,16
1719948963,139.0,generic,17
1719948964,139.0,generic,18
1719948965,139.0,generic,19
1719948966,138.0,generic,20
1719948967,137.0,generic,21
1719948968,137.0,generic,22
1719948969,135.0,generic,23
1719948970,135.0,generic,24
