timestamp,heart rate,distance,activity type,time
1727566595,103.0,0.0,generic,0
1727566596,103.0,0.0,generic,1
1727566597,103.0,0.0,generic,2
1727566598,103.0,0.0,generic,3
1727566599,103.0,0.0,generic,4
1727566600,102.0,0.0,generic,5
1727566601,101.0,0.0,generic,6
1727566602,101.0,0.0,generic,7
1727566603,102.0,0.0,generic,8
1727566604,102.0,0.0,generic,9
1727566605,102.0,0.0,generic,10
1727566606,103.0,0.0,generic,11
1727566607,103.0,0.0,generic,12
1727566608,103.0,0.0,generic,13
1727566609,102.0,0.0,generic,14
1727566610,102.0,0.0,generic,15
1727566611,100.0,0.0,generic,16
1727566612,100.0,0.0,generic,17
1727566613,99.0,0.0,generic,18
1727566614,98.0,0.0,generic,19
