timestamp,heart rate,activity type,time
1719607987,154.0,generic,0
1719607988,152.0,generic,1
1719607989,151.0,generic,2
1719607990,151.0,generic,3
1719607991,150.0,generic,4
1719607992,150.0,generic,5
1719607993,149.0,generic,6
1719607994,148.0,generic,7
1719607995,148.0,generic,8
1719607996,148.0,generic,9
1719607997,148.0,generic,10
1719607998,148.0,generic,11
1719607999,149.0,generic,12
1719608000,149.0,generic,13
1719608001,149.0,generic,14
1719608002,149.0,generic,15
1719608003,149.0,generic,16
1719608004,149.0,generic,17
1719608005,147.0,generic,18
1719608006,147.0,generic,19
1719608007,146.0,generic,20
1719608008,145.0,generic,21
1719608009,145.0,generic,22
1719608010,145.0,generic,23
1719608011,145.0,generic,24
1719608012,146.0,generic,25
1719608013,146.0,generic,26
1719608014,146.0,generic,27
1719608015,146.0,generic,28
