timestamp,heart rate,activity type,time
1719609471,164.0,generic,0
1719609472,163.0,generic,1
1719609473,163.0,generic,2
1719609474,163.0,generic,3
1719609475,163.0,generic,4
1719609476,163.0,generic,5
1719609477,163.0,generic,6
1719609478,163.0,generic,7
1719609479,162.0,generic,8
1719609480,161.0,generic,9
1719609481,161.0,generic,10
1719609482,161.0,generic,11
1719609483,161.0,generic,12
1719609484,161.0,generic,13
1719609485,162.0,generic,14
1719609486,162.0,generic,15
1719609487,162.0,generic,16
