timestamp,heart rate,distance,activity type,time
1727552442,94.0,0.0,generic,0
1727552443,94.0,0.0,generic,1
1727552444,94.0,0.0,generic,2
1727552445,94.0,0.0,generic,3
1727552446,94.0,0.0,generic,4
1727552447,93.0,0.0,generic,5
1727552448,93.0,0.0,generic,6
1727552449,94.0,0.0,generic,7
1727552450,94.0,0.0,generic,8
1727552451,96.0,0.0,generic,9
1727552452,98.0,0.0,generic,10
1727552453,99.0,0.0,generic,11
1727552454,99.0,0.0,generic,12
1727552455,100.0,0.0,generic,13
1727552456,99.0,0.0,generic,14
1727552457,98.0,0.0,generic,15
1727552458,98.0,0.0,generic,16
1727552459,98.0,0.0,generic,17
1727552460,98.0,0.0,generic,18
1727552461,98.0,0.0,generic,19
1727552462,99.0,0.0,generic,20
1727552463,99.0,0.0,generic,21
1727552464,100.0,0.0,generic,22
1727552465,100.0,0.0,generic,23
1727552466,99.0,0.0,generic,24
1727552467,98.0,0.0,generic,25
1727552468,97.0,0.0,generic,26
1727552469,96.0,0.0,generic,27
1727552470,95.0,0.0,generic,28
1727552471,95.0,0.0,generic,29
1727552472,96.0,0.0,generic,30
1727552473,97.0,0.0,generic,31
1727552474,96.0,0.0,generic,32
1727552475,95.0,0.0,generic,33
1727552476,95.0,0.0,generic,34
1727552477,95.0,0.0,generic,35
1727552478,94.0,0.0,generic,36
1727552479,94.0,0.0,generic,37
1727552480,94.0,0.0,generic,38
1727552481,93.0,0.0,generic,39
1727552482,93.0,0.0,generic,40
1727552483,92.0,0.0,generic,41
1727552484,92.0,0.0,generic,42
1727552485,91.0,0.0,generic,43
1727552486,91.0,0.0,generic,44
1727552487,91.0,0.0,generic,45
1727552488,91.0,0.0,generic,46
1727552489,92.0,0.0,generic,47
1727552490,92.0,0.0,generic,48
1727552491,92.0,0.0,generic,49
1727552492,92.0,0.0,generic,50
