timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736029486,126,12.05,96.0,126,18,0.0
1736029487,126,12.05,96.0,126,18,1.0
1736029488,127,12.05,96.0,127,18,2.0
1736029489,128,12.09,96.0,128,18,3.0
1736029490,128,12.09,96.0,128,18,4.0
1736029491,128,12.13,96.0,128,18,5.0
1736029492,129,12.13,96.0,129,18,6.0
1736029493,130,12.13,96.0,130,18,7.0
1736029494,131,12.13,96.0,131,18,8.0
1736029495,131,12.13,96.0,131,18,9.0
1736029496,131,12.13,96.0,131,18,10.0
1736029497,132,12.13,96.0,132,18,11.0
1736029498,133,12.12,96.0,133,18,12.0
1736029499,133,12.12,96.0,133,18,13.0
1736029500,133,12.12,96.0,133,18,14.0
1736029501,133,12.12,96.0,133,18,15.0
1736029502,133,12.12,96.0,133,18,16.0
1736029503,132,12.12,96.0,132,18,17.0
1736029504,132,12.12,96.0,132,18,18.0
1736029505,132,12.12,97.0,132,18,19.0
1736029506,132,12.08,97.0,132,18,20.0
1736029507,132,12.08,97.0,132,18,21.0
1736029508,133,12.08,97.0,133,18,22.0
1736029509,132,12.08,97.0,132,18,23.0
1736029510,132,12.15,97.0,132,18,24.0
1736029511,133,12.15,97.0,133,18,25.0
1736029512,132,12.15,97.0,132,18,26.0
1736029513,131,12.15,97.0,131,18,27.0
1736029514,130,12.15,97.0,130,18,28.0
1736029515,128,12.15,98.0,128,18,29.0
1736029516,125,12.15,98.0,125,18,30.0
1736029517,124,12.15,98.0,124,18,31.0
1736029518,125,12.15,98.0,125,18,32.0
1736029519,125,12.15,98.0,125,18,33.0
1736029520,126,12.15,99.0,126,18,34.0
1736029521,126,12.15,99.0,126,18,35.0
1736029522,127,12.15,99.0,127,18,36.0
1736029523,127,12.15,99.0,127,18,37.0
1736029524,127,12.15,99.0,127,18,38.0
1736029525,127,12.15,95.0,127,18,39.0
1736029526,126,12.15,95.0,126,18,40.0
1736029527,126,12.15,95.0,126,18,41.0
1736029528,125,12.15,95.0,125,18,42.0
1736029529,126,12.15,95.0,126,18,43.0
1736029530,126,12.15,95.0,126,18,44.0
1736029531,126,12.15,95.0,126,18,45.0
1736029532,127,12.15,95.0,127,18,46.0
1736029533,127,12.15,95.0,127,18,47.0
