,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1707179025,0,0,152.0,0.0,0
1,1707179026,0,0,151.0,0.0,1
2,1707179027,0,0,151.0,0.0,2
3,1707179028,0,0,150.0,0.0,3
4,1707179029,0,0,149.0,0.0,4
5,1707179030,0,0,149.0,0.0,5
6,1707179031,0,0,149.0,0.0,6
7,1707179032,0,0,149.0,0.0,7
8,1707179033,0,0,147.0,0.0,8
9,1707179034,0,0,146.0,0.0,9
10,1707179035,0,0,143.0,0.0,10
11,1707179036,0,0,142.0,0.0,11
12,1707179037,0,0,142.0,0.0,12
13,1707179038,0,0,142.0,12.12,13
14,1707179039,0,0,141.0,12.12,14
15,1707179040,0,0,140.0,12.12,15
16,1707179041,0,0,140.0,12.18,16
17,1707179042,0,0,139.0,12.18,17
18,1707179043,0,0,138.0,12.18,18
19,1707179044,0,0,137.0,12.18,19
20,1707179045,0,0,137.0,12.18,20
21,1707179046,0,0,136.0,12.18,21
22,1707179047,0,0,136.0,12.18,22
23,1707179048,0,0,136.0,12.18,23
24,1707179049,0,0,135.0,12.18,24
25,1707179050,0,0,135.0,12.18,25
26,1707179051,0,0,135.0,12.18,26
27,1707179052,0,0,135.0,12.15,27
28,1707179053,0,0,134.0,12.15,28
29,1707179054,0,0,134.0,12.15,29
30,1707179055,0,0,134.0,12.15,30
31,1707179056,0,0,133.0,12.18,31
