timestamp,heart rate,activity type,time
1719169086,116.0,generic,0
1719169087,114.0,generic,1
1719169088,114.0,generic,2
1719169089,114.0,generic,3
1719169090,113.0,generic,4
1719169091,113.0,generic,5
1719169092,113.0,generic,6
1719169093,115.0,generic,7
1719169094,117.0,generic,8
1719169095,119.0,generic,9
1719169096,119.0,generic,10
1719169097,119.0,generic,11
1719169098,119.0,generic,12
1719169099,119.0,generic,13
1719169100,119.0,generic,14
1719169101,119.0,generic,15
1719169102,120.0,generic,16
1719169103,118.0,generic,17
1719169104,117.0,generic,18
1719169105,117.0,generic,19
1719169106,117.0,generic,20
1719169107,118.0,generic,21
1719169108,118.0,generic,22
1719169109,118.0,generic,23
1719169110,118.0,generic,24
1719169111,116.0,generic,25
1719169112,116.0,generic,26
1719169113,116.0,generic,27
1719169114,116.0,generic,28
1719169115,116.0,generic,29
1719169116,116.0,generic,30
1719169117,114.0,generic,31
1719169118,112.0,generic,32
1719169119,112.0,generic,33
1719169120,112.0,generic,34
1719169121,112.0,generic,35
1719169122,112.0,generic,36
1719169123,113.0,generic,37
1719169124,114.0,generic,38
1719169125,115.0,generic,39
1719169126,116.0,generic,40
1719169127,116.0,generic,41
1719169128,116.0,generic,42
1719169129,116.0,generic,43
1719169130,116.0,generic,44
1719169131,116.0,generic,45
1719169132,116.0,generic,46
1719169133,116.0,generic,47
1719169134,115.0,generic,48
1719169135,114.0,generic,49
1719169136,113.0,generic,50
1719169137,113.0,generic,51
1719169138,113.0,generic,52
1719169139,114.0,generic,53
1719169140,114.0,generic,54
1719169141,114.0,generic,55
1719169142,113.0,generic,56
1719169143,112.0,generic,57
1719169144,112.0,generic,58
1719169145,112.0,generic,59
