timestamp,heart rate,activity type,time
1719087772,0.0,generic,0
1719087773,0.0,generic,1
1719087774,0.0,generic,2
1719087775,0.0,generic,3
1719087776,0.0,generic,4
1719087777,0.0,generic,5
1719087778,0.0,generic,6
1719087779,0.0,generic,7
1719087780,0.0,generic,8
1719087781,0.0,generic,9
1719087782,0.0,generic,10
1719087783,95.0,generic,11
1719087784,97.0,generic,12
1719087785,99.0,generic,13
1719087786,105.0,generic,14
1719087787,107.0,generic,15
1719087788,108.0,generic,16
1719087789,107.0,generic,17
1719087790,107.0,generic,18
1719087791,107.0,generic,19
1719087792,107.0,generic,20
1719087793,107.0,generic,21
1719087794,105.0,generic,22
1719087795,104.0,generic,23
