timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736026719,137,,,137,22,0.0
1736026720,136,,99.0,136,22,1.0
1736026721,135,,99.0,135,22,2.0
1736026722,134,,99.0,134,22,3.0
1736026723,133,,99.0,133,22,4.0
1736026724,133,,99.0,133,22,5.0
1736026725,131,,99.0,131,22,6.0
1736026726,132,,99.0,132,22,7.0
1736026727,132,,99.0,132,22,8.0
1736026728,133,,99.0,133,22,9.0
1736026729,133,12.05,99.0,133,22,10.0
1736026730,133,12.05,99.0,133,22,11.0
1736026731,133,12.05,99.0,133,22,12.0
1736026732,132,12.05,99.0,132,22,13.0
