timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736026048,116,12.08,,116,23,0.0
1736026049,116,12.08,,116,23,1.0
1736026050,116,12.08,,116,23,2.0
1736026051,116,12.08,,116,23,3.0
1736026052,117,12.08,,117,23,4.0
1736026053,117,12.07,,117,23,5.0
1736026054,119,12.07,,119,23,6.0
1736026055,120,12.07,,120,23,7.0
1736026056,122,12.07,,122,23,8.0
1736026057,123,12.07,,123,23,9.0
1736026058,123,12.07,,123,23,10.0
1736026059,123,12.07,,123,23,11.0
1736026060,123,12.02,,123,23,12.0
1736026061,123,12.02,,123,23,13.0
1736026062,123,12.02,,123,23,14.0
1736026063,122,12.02,,122,23,15.0
1736026064,122,12.06,,122,23,16.0
1736026065,122,12.06,,122,23,17.0
1736026066,122,12.11,,122,23,18.0
1736026067,122,12.11,,122,23,19.0
1736026068,122,12.11,,122,23,20.0
1736026069,122,12.11,,122,23,21.0
