timestamp,heart rate,activity type,time
1719170948,150.0,generic,0
1719170949,149.0,generic,1
1719170950,149.0,generic,2
1719170951,148.0,generic,3
1719170952,148.0,generic,4
1719170953,148.0,generic,5
1719170954,148.0,generic,6
1719170955,148.0,generic,7
1719170956,147.0,generic,8
1719170957,147.0,generic,9
1719170958,146.0,generic,10
1719170959,145.0,generic,11
1719170960,145.0,generic,12
1719170961,145.0,generic,13
1719170962,145.0,generic,14
1719170963,145.0,generic,15
1719170964,146.0,generic,16
1719170965,146.0,generic,17
1719170966,146.0,generic,18
1719170967,145.0,generic,19
1719170968,145.0,generic,20
