timestamp,heart rate,enhanced respiration rate,current stress,wrist heart rate,body battery,time
1736026741,132,12.1,99.0,132,22,0.0
1736026742,132,12.1,99.0,132,22,1.0
1736026743,131,12.1,99.0,131,22,2.0
1736026744,129,12.1,99.0,129,22,3.0
1736026745,128,12.1,99.0,128,22,4.0
1736026746,128,12.1,99.0,128,22,5.0
1736026747,129,12.08,99.0,129,22,6.0
1736026748,132,12.08,99.0,132,22,7.0
1736026749,132,12.08,99.0,132,22,8.0
1736026750,133,12.08,99.0,133,22,9.0
1736026751,133,12.08,99.0,133,22,10.0
1736026752,133,12.08,99.0,133,22,11.0
1736026753,133,12.08,99.0,133,22,12.0
1736026754,132,12.08,99.0,132,22,13.0
1736026755,131,12.08,99.0,131,22,14.0
1736026756,131,12.06,99.0,131,22,15.0
1736026757,129,12.06,99.0,129,22,16.0
1736026758,127,12.06,99.0,127,22,17.0
1736026759,127,12.06,99.0,127,22,18.0
1736026760,126,12.13,99.0,126,22,19.0
1736026761,126,12.13,99.0,126,22,20.0
