timestamp,heart rate,distance,activity type,time
1721698117,104.0,0.0,generic,0
1721698118,103.0,0.0,generic,1
1721698119,103.0,0.0,generic,2
1721698120,102.0,0.0,generic,3
1721698121,101.0,0.0,generic,4
1721698122,101.0,0.0,generic,5
1721698123,101.0,0.0,generic,6
1721698124,101.0,0.0,generic,7
1721698125,101.0,0.0,generic,8
1721698126,102.0,0.0,generic,9
1721698127,103.0,0.0,generic,10
1721698128,104.0,0.0,generic,11
1721698129,103.0,0.0,generic,12
1721698130,103.0,0.0,generic,13
1721698131,103.0,0.0,generic,14
1721698132,102.0,0.0,generic,15
1721698133,101.0,0.0,generic,16
1721698134,100.0,0.0,generic,17
